Timestamp,Items Sold,Total,Amount Paid,Payment Method,Cost
2026-02-05 09:29:15,iPhone Case(Model: Iphone 15) | Pants(Large - Black) | iPhone Case(Iphone 15),800.00,800.00,Cash,420.00
2026-02-05 09:39:09,Notebook(80-leaves),30.00,50.00,Cash,18.00
2026-02-05 10:57:27,Toothpaste(Colgate),20.00,20.00,Cash,12.00
2026-02-05 15:29:37,iPhone Case(Iphone 15) | Notebook(80L) | Toothpaste(Colgate) | iPhone Case(Iphone 15),350.00,350.00,Cash,150.00
2026-02-05 19:48:20,Notebook(80-leaves) | Pants(Large - Black) | iPhone Case(Iphone 15),680.00,700.00,Cash,378.00
--- SESSION START: 2026-02-06 ---,-,-,-,-,-
2026-02-06 10:00:32,Notebook(80L),30.00,30.00,Cash,18.00
2026-02-06 13:35:17,Toothpaste(Colgate) | Notebook(80L),50.00,50.00,Cash,30.00
2026-02-06 17:12:53,Pants(Large - Black) | Toothpaste(Colgate) | Notebook(80-leaves) | iPhone Case(Model: Iphone 15),700.00,700.00,Cash,390.00
2026-02-06 17:44:31,iPhone Case(Model: Iphone 15) | Notebook(80L) | iPhone Case(Iphone 15),330.00,350.00,Cash,138.00
--- SESSION START: 2026-02-07 ---,-,-,-,-,-
2026-02-07 08:55:39,Notebook(80L) | iPhone Case(Model: Iphone 15),180.00,200.00,Cash,78.00
2026-02-07 11:55:08,iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15),300.00,300.00,Cash,120.00
2026-02-07 14:53:48,Notebook(80-leaves) | Notebook(80L),60.00,100.00,Cash,36.00
2026-02-07 15:46:50,iPhone Case(Iphone 15) | Toothpaste(Colgate),170.00,200.00,Cash,72.00
--- SESSION START: 2026-02-08 ---,-,-,-,-,-
2026-02-08 08:40:42,Pants(Large - Black) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves),700.00,700.00,Cash,390.00
2026-02-08 10:43:08,Notebook(80L) | iPhone Case(Model: Iphone 15) | Pants(Large - Black),680.00,680.00,Cash,378.00
2026-02-08 13:00:50,Toothpaste(Colgate),20.00,20.00,Cash,12.00
2026-02-08 16:07:32,Pants(Large - Black) | Pants(Large - Black) | iPhone Case(Model: Iphone 15),1150.00,1150.00,Cash,660.00
2026-02-08 16:20:18,iPhone Case(Iphone 15) | Notebook(80-leaves) | Notebook(80-leaves),210.00,210.00,Cash,96.00
2026-02-08 16:41:02,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
--- SESSION START: 2026-02-09 ---,-,-,-,-,-
2026-02-09 09:16:10,Toothpaste(Colgate) | iPhone Case(Iphone 15),170.00,200.00,Cash,72.00
2026-02-09 10:25:59,iPhone Case(Model: Iphone 15) | Notebook(80-leaves),180.00,180.00,Cash,78.00
2026-02-09 14:04:28,Notebook(80-leaves) | Notebook(80-leaves) | Pants(Large - Black),560.00,560.00,Cash,336.00
2026-02-09 15:41:07,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate) | Pants(Large - Black),820.00,820.00,Cash,432.00
2026-02-09 19:43:49,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-02-09 20:47:46,Toothpaste(Colgate),20.00,20.00,Cash,12.00
--- SESSION START: 2026-02-10 ---,-,-,-,-,-
2026-02-10 10:14:20,Notebook(80L),30.00,30.00,Cash,18.00
2026-02-10 17:32:34,iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15) | Pants(Large - Black) | Notebook(80-leaves),830.00,830.00,Cash,438.00
2026-02-10 17:49:45,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-02-10 18:07:56,Toothpaste(Colgate),20.00,20.00,Cash,12.00
2026-02-10 20:25:55,Notebook(80L) | Toothpaste(Colgate),50.00,50.00,Cash,30.00
2026-02-10 20:32:33,iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15) | Pants(Large - Black),800.00,800.00,Cash,420.00
--- SESSION START: 2026-02-11 ---,-,-,-,-,-
2026-02-11 12:32:16,Notebook(80L) | iPhone Case(Iphone 15) | Toothpaste(Colgate),200.00,200.00,Cash,90.00
2026-02-11 17:12:15,Toothpaste(Colgate) | iPhone Case(Iphone 15),170.00,170.00,Cash,72.00
2026-02-11 18:56:35,Toothpaste(Colgate) | Notebook(80-leaves),50.00,50.00,Cash,30.00
2026-02-11 20:07:11,iPhone Case(Model: Iphone 15) | Pants(Large - Black) | Pants(Large - Black) | iPhone Case(Model: Iphone 15),1300.00,1300.00,Cash,720.00
--- SESSION START: 2026-02-12 ---,-,-,-,-,-
2026-02-12 08:47:04,Notebook(80-leaves) | Pants(Large - Black) | iPhone Case(Iphone 15) | Notebook(80-leaves),710.00,710.00,Cash,396.00
2026-02-12 09:19:14,Notebook(80-leaves) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves),360.00,360.00,Cash,156.00
2026-02-12 09:21:54,Notebook(80L) | Notebook(80-leaves),60.00,60.00,Cash,36.00
2026-02-12 14:13:37,Notebook(80-leaves) | Notebook(80L) | Notebook(80-leaves),90.00,90.00,Cash,54.00
2026-02-12 14:37:49,iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),170.00,170.00,Cash,72.00
2026-02-12 15:01:46,Notebook(80-leaves) | Pants(Large - Black),530.00,550.00,Cash,318.00
2026-02-12 15:19:42,Toothpaste(Colgate) | Pants(Large - Black) | iPhone Case(Iphone 15),670.00,700.00,Cash,372.00
--- SESSION START: 2026-02-13 ---,-,-,-,-,-
2026-02-13 09:51:35,Toothpaste(Colgate) | Notebook(80-leaves) | Pants(Large - Black),550.00,550.00,Cash,330.00
2026-02-13 13:08:18,Notebook(80-leaves) | Notebook(80L) | Pants(Large - Black) | iPhone Case(Model: Iphone 15),710.00,750.00,Cash,396.00
2026-02-13 15:49:30,iPhone Case(Iphone 15) | iPhone Case(Iphone 15) | Pants(Large - Black),800.00,800.00,Cash,420.00
2026-02-13 15:51:13,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),300.00,300.00,Cash,120.00
2026-02-13 20:56:09,iPhone Case(Model: Iphone 15) | Notebook(80L),180.00,200.00,Cash,78.00
--- SESSION START: 2026-02-14 ---,-,-,-,-,-
2026-02-14 09:55:01,Pants(Large - Black) | Toothpaste(Colgate),520.00,520.00,Cash,312.00
2026-02-14 12:27:04,Toothpaste(Colgate) | Notebook(80L) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),350.00,350.00,Cash,150.00
2026-02-14 14:47:18,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-02-14 15:34:22,Notebook(80L) | Pants(Large - Black) | Toothpaste(Colgate),550.00,550.00,Cash,330.00
2026-02-14 15:48:22,iPhone Case(Iphone 15) | Toothpaste(Colgate),170.00,170.00,Cash,72.00
2026-02-14 17:01:11,iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15),300.00,300.00,Cash,120.00
2026-02-14 17:48:51,iPhone Case(Iphone 15) | Notebook(80-leaves) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves),360.00,400.00,Cash,156.00
--- SESSION START: 2026-02-15 ---,-,-,-,-,-
2026-02-15 10:12:19,Notebook(80-leaves) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | Notebook(80L),230.00,230.00,Cash,108.00
2026-02-15 10:35:22,iPhone Case(Model: Iphone 15) | Pants(Large - Black) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves),830.00,830.00,Cash,438.00
2026-02-15 14:42:06,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-02-15 19:07:38,Toothpaste(Colgate) | Pants(Large - Black),520.00,550.00,Cash,312.00
2026-02-15 20:10:20,iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),170.00,170.00,Cash,72.00
--- SESSION START: 2026-02-16 ---,-,-,-,-,-
2026-02-16 12:15:11,Notebook(80L) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),330.00,350.00,Cash,138.00
2026-02-16 17:26:22,Notebook(80-leaves),30.00,30.00,Cash,18.00
2026-02-16 17:57:34,Toothpaste(Colgate) | Notebook(80L) | Pants(Large - Black) | Toothpaste(Colgate),570.00,600.00,Cash,342.00
--- SESSION START: 2026-02-17 ---,-,-,-,-,-
2026-02-17 08:11:26,Notebook(80L),30.00,30.00,Cash,18.00
2026-02-17 09:22:00,Notebook(80L) | iPhone Case(Model: Iphone 15),180.00,180.00,Cash,78.00
2026-02-17 10:35:58,Notebook(80-leaves) | Pants(Large - Black),530.00,550.00,Cash,318.00
2026-02-17 11:38:01,Toothpaste(Colgate) | Notebook(80-leaves) | Notebook(80L),80.00,100.00,Cash,48.00
2026-02-17 17:00:37,Pants(Large - Black) | Notebook(80-leaves),530.00,550.00,Cash,318.00
2026-02-17 19:20:44,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
--- SESSION START: 2026-02-18 ---,-,-,-,-,-
2026-02-18 08:59:12,iPhone Case(Model: Iphone 15) | Pants(Large - Black) | Notebook(80-leaves) | Toothpaste(Colgate),700.00,700.00,Cash,390.00
2026-02-18 09:14:36,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-02-18 09:25:21,iPhone Case(Model: Iphone 15) | Toothpaste(Colgate) | Notebook(80-leaves) | iPhone Case(Model: Iphone 15),350.00,350.00,Cash,150.00
2026-02-18 13:44:37,iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15),300.00,300.00,Cash,120.00
2026-02-18 14:22:30,iPhone Case(Model: Iphone 15) | Notebook(80-leaves) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves),360.00,360.00,Cash,156.00
2026-02-18 20:25:12,Toothpaste(Colgate) | Pants(Large - Black) | Notebook(80L) | Pants(Large - Black),1050.00,1050.00,Cash,630.00
2026-02-18 20:57:43,Pants(Large - Black),500.00,500.00,Cash,300.00
--- SESSION START: 2026-02-19 ---,-,-,-,-,-
2026-02-19 08:32:22,Notebook(80-leaves) | Pants(Large - Black) | Notebook(80L) | Pants(Large - Black),1060.00,1100.00,Cash,636.00
2026-02-19 11:22:15,iPhone Case(Iphone 15) | Notebook(80-leaves) | Pants(Large - Black) | iPhone Case(Iphone 15),830.00,830.00,Cash,438.00
2026-02-19 12:12:24,Notebook(80-leaves) | Pants(Large - Black),530.00,550.00,Cash,318.00
--- SESSION START: 2026-02-20 ---,-,-,-,-,-
2026-02-20 08:45:51,iPhone Case(Model: Iphone 15),150.00,150.00,Cash,60.00
2026-02-20 11:09:21,Pants(Large - Black) | iPhone Case(Iphone 15) | Notebook(80L) | Pants(Large - Black),1180.00,1180.00,Cash,678.00
2026-02-20 13:12:13,Notebook(80L) | Notebook(80L),60.00,60.00,Cash,36.00
2026-02-20 15:49:57,Toothpaste(Colgate) | Toothpaste(Colgate) | Toothpaste(Colgate) | iPhone Case(Iphone 15),210.00,250.00,Cash,96.00
2026-02-20 16:21:30,Notebook(80-leaves) | Notebook(80L) | Pants(Large - Black) | Pants(Large - Black),1060.00,1100.00,Cash,636.00
2026-02-20 20:54:44,Notebook(80L) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),350.00,350.00,Cash,150.00
--- SESSION START: 2026-02-21 ---,-,-,-,-,-
2026-02-21 11:13:36,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-02-21 11:28:52,Notebook(80L) | Notebook(80L) | iPhone Case(Iphone 15) | Pants(Large - Black),710.00,710.00,Cash,396.00
2026-02-21 13:42:48,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-02-21 13:55:27,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | Notebook(80L) | Toothpaste(Colgate),350.00,350.00,Cash,150.00
2026-02-21 14:52:33,iPhone Case(Iphone 15) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),340.00,350.00,Cash,144.00
2026-02-21 20:06:21,iPhone Case(Model: Iphone 15),150.00,150.00,Cash,60.00
2026-02-21 20:13:24,Pants(Large - Black) | Pants(Large - Black) | Notebook(80L) | iPhone Case(Iphone 15),1180.00,1180.00,Cash,678.00
--- SESSION START: 2026-02-22 ---,-,-,-,-,-
2026-02-22 10:20:58,Notebook(80L) | iPhone Case(Iphone 15) | Notebook(80L),210.00,210.00,Cash,96.00
2026-02-22 14:22:29,Notebook(80L) | Notebook(80L) | Notebook(80-leaves) | Notebook(80L),120.00,150.00,Cash,72.00
2026-02-22 14:30:48,Notebook(80-leaves) | Notebook(80-leaves),60.00,100.00,Cash,36.00
2026-02-22 19:04:46,iPhone Case(Model: Iphone 15) | Pants(Large - Black) | Pants(Large - Black),1150.00,1150.00,Cash,660.00
--- SESSION START: 2026-02-23 ---,-,-,-,-,-
2026-02-23 14:53:15,Notebook(80L) | Notebook(80-leaves) | Notebook(80L) | iPhone Case(Iphone 15),240.00,250.00,Cash,114.00
2026-02-23 16:12:01,Pants(Large - Black) | Notebook(80L) | iPhone Case(Iphone 15),680.00,680.00,Cash,378.00
2026-02-23 20:14:06,Notebook(80-leaves) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves) | iPhone Case(Iphone 15),360.00,400.00,Cash,156.00
--- SESSION START: 2026-02-24 ---,-,-,-,-,-
2026-02-24 12:05:57,Toothpaste(Colgate),20.00,20.00,Cash,12.00
2026-02-24 14:49:10,iPhone Case(Model: Iphone 15) | Notebook(80-leaves),180.00,200.00,Cash,78.00
2026-02-24 20:59:08,iPhone Case(Model: Iphone 15) | Notebook(80L) | Toothpaste(Colgate) | iPhone Case(Iphone 15),350.00,350.00,Cash,150.00
--- SESSION START: 2026-02-25 ---,-,-,-,-,-
2026-02-25 08:44:55,Notebook(80L),30.00,30.00,Cash,18.00
2026-02-25 09:21:55,iPhone Case(Iphone 15) | Toothpaste(Colgate) | Pants(Large - Black),670.00,700.00,Cash,372.00
2026-02-25 14:49:04,Toothpaste(Colgate) | Notebook(80-leaves) | iPhone Case(Model: Iphone 15),200.00,200.00,Cash,90.00
2026-02-25 18:21:57,Toothpaste(Colgate) | iPhone Case(Model: Iphone 15),170.00,200.00,Cash,72.00
2026-02-25 18:37:04,Notebook(80-leaves) | iPhone Case(Model: Iphone 15),180.00,180.00,Cash,78.00
2026-02-25 19:56:36,Toothpaste(Colgate) | Toothpaste(Colgate) | iPhone Case(Iphone 15),190.00,200.00,Cash,84.00
--- SESSION START: 2026-02-26 ---,-,-,-,-,-
2026-02-26 11:58:42,Toothpaste(Colgate) | Toothpaste(Colgate),40.00,40.00,Cash,24.00
2026-02-26 12:18:47,Notebook(80-leaves) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15),350.00,350.00,Cash,150.00
2026-02-26 20:18:02,iPhone Case(Model: Iphone 15) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),340.00,340.00,Cash,144.00
--- SESSION START: 2026-02-27 ---,-,-,-,-,-
2026-02-27 08:24:32,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),300.00,300.00,Cash,120.00
2026-02-27 09:16:53,Notebook(80-leaves) | Pants(Large - Black),530.00,530.00,Cash,318.00
2026-02-27 10:56:04,iPhone Case(Model: Iphone 15) | Pants(Large - Black),650.00,650.00,Cash,360.00
2026-02-27 12:22:57,Notebook(80L),30.00,50.00,Cash,18.00
2026-02-27 14:06:08,Pants(Large - Black) | Pants(Large - Black) | Pants(Large - Black) | iPhone Case(Model: Iphone 15),1650.00,1650.00,Cash,960.00
2026-02-27 18:45:31,iPhone Case(Iphone 15) | Pants(Large - Black) | Pants(Large - Black) | Pants(Large - Black),1650.00,1650.00,Cash,960.00
--- SESSION START: 2026-02-28 ---,-,-,-,-,-
2026-02-28 11:08:48,Toothpaste(Colgate) | Pants(Large - Black),520.00,520.00,Cash,312.00
2026-02-28 15:44:38,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-02-28 18:37:51,Toothpaste(Colgate) | iPhone Case(Iphone 15),170.00,200.00,Cash,72.00
2026-02-28 19:32:47,Toothpaste(Colgate) | Toothpaste(Colgate),40.00,50.00,Cash,24.00
--- SESSION START: 2026-03-01 ---,-,-,-,-,-
2026-03-01 09:22:30,Notebook(80-leaves) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),200.00,200.00,Cash,90.00
2026-03-01 09:22:54,Notebook(80-leaves),30.00,50.00,Cash,18.00
2026-03-01 09:41:43,iPhone Case(Iphone 15) | Notebook(80-leaves),180.00,200.00,Cash,78.00
2026-03-01 10:55:38,Pants(Large - Black) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),670.00,700.00,Cash,372.00
2026-03-01 11:51:29,iPhone Case(Iphone 15) | Notebook(80-leaves) | Notebook(80L) | iPhone Case(Iphone 15),360.00,400.00,Cash,156.00
2026-03-01 13:27:19,Notebook(80-leaves) | Notebook(80-leaves) | iPhone Case(Iphone 15) | Pants(Large - Black),710.00,750.00,Cash,396.00
2026-03-01 13:35:46,iPhone Case(Model: Iphone 15) | Notebook(80-leaves) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15),350.00,350.00,Cash,150.00
2026-03-01 14:26:30,Notebook(80-leaves) | iPhone Case(Model: Iphone 15),180.00,200.00,Cash,78.00
--- SESSION START: 2026-03-02 ---,-,-,-,-,-
2026-03-02 08:17:55,Pants(Large - Black) | Notebook(80-leaves),530.00,530.00,Cash,318.00
2026-03-02 09:13:08,Notebook(80L) | Pants(Large - Black),530.00,530.00,Cash,318.00
2026-03-02 09:39:59,iPhone Case(Iphone 15) | Notebook(80L) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),480.00,500.00,Cash,198.00
2026-03-02 11:31:29,Notebook(80-leaves) | Pants(Large - Black),530.00,550.00,Cash,318.00
2026-03-02 12:14:09,Pants(Large - Black) | Notebook(80-leaves),530.00,550.00,Cash,318.00
2026-03-02 12:19:43,Pants(Large - Black) | Notebook(80-leaves) | Toothpaste(Colgate),550.00,550.00,Cash,330.00
2026-03-02 14:14:01,Notebook(80-leaves) | Pants(Large - Black) | iPhone Case(Iphone 15),680.00,700.00,Cash,378.00
2026-03-02 14:20:41,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | Pants(Large - Black),800.00,800.00,Cash,420.00
--- SESSION START: 2026-03-03 ---,-,-,-,-,-
2026-03-03 09:48:13,Notebook(80L) | iPhone Case(Iphone 15),180.00,180.00,Cash,78.00
2026-03-03 11:25:09,Notebook(80-leaves) | Notebook(80-leaves) | iPhone Case(Iphone 15) | Notebook(80-leaves),240.00,240.00,Cash,114.00
2026-03-03 12:20:20,Pants(Large - Black) | iPhone Case(Model: Iphone 15),650.00,650.00,Cash,360.00
2026-03-03 18:07:44,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15),450.00,450.00,Cash,180.00
2026-03-03 20:42:18,Toothpaste(Colgate),20.00,50.00,Cash,12.00
--- SESSION START: 2026-03-04 ---,-,-,-,-,-
2026-03-04 09:38:28,Pants(Large - Black) | iPhone Case(Model: Iphone 15) | Notebook(80-leaves),680.00,680.00,Cash,378.00
2026-03-04 11:45:15,Pants(Large - Black),500.00,500.00,Cash,300.00
2026-03-04 13:46:40,iPhone Case(Iphone 15) | Notebook(80-leaves),180.00,200.00,Cash,78.00
2026-03-04 14:25:26,Notebook(80L) | Notebook(80-leaves) | iPhone Case(Iphone 15),210.00,250.00,Cash,96.00
2026-03-04 20:32:13,Toothpaste(Colgate),20.00,20.00,Cash,12.00
--- SESSION START: 2026-03-05 ---,-,-,-,-,-
2026-03-05 08:15:55,Notebook(80-leaves) | Notebook(80L),60.00,100.00,Cash,36.00
2026-03-05 15:11:57,iPhone Case(Model: Iphone 15) | Toothpaste(Colgate) | Pants(Large - Black),670.00,700.00,Cash,372.00
2026-03-05 20:46:25,iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15) | iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15),600.00,600.00,Cash,240.00
--- SESSION START: 2026-03-06 ---,-,-,-,-,-
2026-03-06 09:07:56,Toothpaste(Colgate) | Notebook(80L) | Pants(Large - Black),550.00,550.00,Cash,330.00
2026-03-06 13:04:55,iPhone Case(Model: Iphone 15) | iPhone Case(Iphone 15),300.00,300.00,Cash,120.00
2026-03-06 15:01:53,Notebook(80-leaves) | Notebook(80-leaves),60.00,60.00,Cash,36.00
2026-03-06 15:41:08,Pants(Large - Black) | iPhone Case(Iphone 15),650.00,650.00,Cash,360.00
2026-03-06 17:11:09,Notebook(80L),30.00,50.00,Cash,18.00
2026-03-06 20:36:36,Notebook(80-leaves) | iPhone Case(Model: Iphone 15),180.00,180.00,Cash,78.00
--- SESSION START: 2026-03-07 ---,-,-,-,-,-
2026-03-07 10:17:58,iPhone Case(Iphone 15) | Notebook(80L) | Notebook(80-leaves),210.00,210.00,Cash,96.00
2026-03-07 15:34:05,Notebook(80-leaves) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),330.00,330.00,Cash,138.00
2026-03-07 17:13:47,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-03-07 18:00:56,iPhone Case(Model: Iphone 15) | Notebook(80-leaves) | Toothpaste(Colgate),200.00,200.00,Cash,90.00
2026-03-07 18:06:41,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-03-07 19:03:05,iPhone Case(Model: Iphone 15) | Toothpaste(Colgate) | iPhone Case(Model: Iphone 15) | Toothpaste(Colgate),340.00,340.00,Cash,144.00
2026-03-07 20:10:19,Notebook(80L) | iPhone Case(Model: Iphone 15),180.00,180.00,Cash,78.00
--- SESSION START: 2026-03-08 ---,-,-,-,-,-
2026-03-08 09:36:00,Notebook(80-leaves) | Notebook(80-leaves) | Notebook(80-leaves) | iPhone Case(Model: Iphone 15),240.00,250.00,Cash,114.00
2026-03-08 12:33:20,Toothpaste(Colgate) | Pants(Large - Black) | iPhone Case(Iphone 15) | iPhone Case(Model: Iphone 15),820.00,820.00,Cash,432.00
2026-03-08 17:37:36,Notebook(80-leaves) | Toothpaste(Colgate),50.00,50.00,Cash,30.00
2026-03-08 18:41:04,iPhone Case(Model: Iphone 15),150.00,150.00,Cash,60.00
--- SESSION START: 2026-03-09 ---,-,-,-,-,-
2026-03-09 10:30:27,Notebook(80-leaves),30.00,50.00,Cash,18.00
2026-03-09 16:48:42,Notebook(80-leaves),30.00,50.00,Cash,18.00
2026-03-09 17:29:08,Notebook(80L) | Toothpaste(Colgate),50.00,50.00,Cash,30.00
2026-03-09 20:13:49,Toothpaste(Colgate) | Pants(Large - Black),520.00,520.00,Cash,312.00
--- SESSION START: 2026-03-10 ---,-,-,-,-,-
2026-03-10 09:45:11,Notebook(80L),30.00,30.00,Cash,18.00
2026-03-10 11:57:20,iPhone Case(Iphone 15) | Pants(Large - Black) | Notebook(80L),680.00,700.00,Cash,378.00
2026-03-10 15:31:42,Notebook(80L),30.00,50.00,Cash,18.00
2026-03-10 16:23:45,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-03-10 17:28:31,Toothpaste(Colgate) | Notebook(80-leaves) | Notebook(80L) | iPhone Case(Model: Iphone 15),230.00,230.00,Cash,108.00
2026-03-10 19:42:17,iPhone Case(Iphone 15) | Notebook(80L) | Toothpaste(Colgate),200.00,200.00,Cash,90.00
2026-03-10 19:44:38,Pants(Large - Black) | Pants(Large - Black) | iPhone Case(Iphone 15),1150.00,1150.00,Cash,660.00
--- SESSION START: 2026-03-11 ---,-,-,-,-,-
2026-03-11 08:40:07,iPhone Case(Iphone 15),150.00,150.00,Cash,60.00
2026-03-11 09:06:39,iPhone Case(Model: Iphone 15) | Pants(Large - Black),650.00,650.00,Cash,360.00
2026-03-11 09:11:31,iPhone Case(Iphone 15) | Pants(Large - Black),650.00,650.00,Cash,360.00
2026-03-11 14:21:00,iPhone Case(Iphone 15) | Notebook(80-leaves) | iPhone Case(Iphone 15),330.00,330.00,Cash,138.00
2026-03-11 15:32:24,iPhone Case(Iphone 15) | Notebook(80L),180.00,200.00,Cash,78.00
